CustomerID,Frequency,Monetery,Recency,F_SCORE,M_SCORE,R_SCORE,RFM_SCORE,segment
12444,5,5005.46,21,4,5,4,13,Champion
12445,1,133.4,22,1,1,4,6,SomeWhat Loyal
12446,1,1002.3100000000001,58,1,4,3,8,SomeWhat Loyal
12447,1,476.49,243,1,2,1,4,Others
12448,1,449.45,44,1,2,3,6,SomeWhat Loyal
12449,4,4067.29,22,4,5,4,13,Champion
12450,2,197.88,156,2,1,2,5,SomeWhat Loyal
12451,5,9035.52,11,4,5,5,14,Champion
12452,2,430.57,17,2,2,4,8,SomeWhat Loyal
12453,1,707.09,134,1,3,2,6,SomeWhat Loyal
12454,1,3528.34,56,1,5,3,9,Loyal
12455,6,2466.86,73,4,5,2,11,Loyal
12456,3,3181.04,44,3,5,3,11,Loyal
12457,7,2363.23,66,5,5,3,13,Champion
12458,2,947.4,71,2,4,3,9,Loyal
12461,2,826.88,94,2,3,2,7,SomeWhat Loyal
12462,2,1189.59,19,2,4,4,10,Loyal
12463,4,1344.78,53,4,4,3,11,Loyal
12464,8,1212.05,10,5,4,5,14,Champion
12465,2,742.1899999999999,17,2,3,4,9,Loyal
12468,2,729.5400000000001,188,2,3,1,6,SomeWhat Loyal
12471,30,19824.05,2,5,5,5,15,Champion
12472,7,6572.11,32,5,5,4,14,Champion
12473,5,3938.5499999999997,29,4,5,4,13,Champion
12474,18,7375.79,17,5,5,4,14,Champion
12475,1,723.38,54,1,3,3,7,SomeWhat Loyal
12476,11,6816.42,16,5,5,4,14,Champion
12477,6,13219.74,23,4,5,4,13,Champion
12478,1,680.99,4,1,3,5,9,Loyal
12479,1,527.2,11,1,3,5,9,Loyal
12480,4,3281.63,28,4,5,4,13,Champion
12481,10,5596.32,23,5,5,4,14,Champion
12483,8,2484.98,17,5,5,4,14,Champion
12484,6,4541.72,33,4,5,4,13,Champion
12488,3,1298.66,10,3,4,5,12,Loyal
12489,1,334.93,336,1,2,1,4,Others
12490,10,5417.93,5,5,5,5,15,Champion
12491,1,460.40000000000003,39,1,2,3,6,SomeWhat Loyal
12492,2,263.21000000000004,63,2,2,3,7,SomeWhat Loyal
12493,2,433.74,166,2,2,2,6,SomeWhat Loyal
12494,7,1246.1000000000001,16,5,4,4,13,Champion
12497,1,1043.1,82,1,4,2,7,SomeWhat Loyal
12498,3,403.70000000000005,21,3,2,4,9,Loyal
12500,11,4257.82,23,5,5,4,14,Champion
12501,1,2169.39,337,1,5,1,7,SomeWhat Loyal
12502,5,3723.87,96,4,5,2,11,Loyal
12504,2,482.04999999999995,18,2,2,4,8,SomeWhat Loyal
12506,1,73.5,233,1,1,1,3,LOST
12507,3,1304.81,134,3,4,2,9,Loyal
12508,2,398.27,26,2,2,4,8,SomeWhat Loyal
12509,1,176.5,284,1,1,1,3,LOST
12510,2,982.5699999999999,143,2,4,2,8,SomeWhat Loyal
12512,2,138.03,66,2,1,3,6,SomeWhat Loyal
12513,1,612.29,113,1,3,2,6,SomeWhat Loyal
12514,1,1017.68,267,1,4,1,6,SomeWhat Loyal
12515,1,383.7,353,1,2,1,4,Others
12516,2,1312.06,78,2,4,2,8,SomeWhat Loyal
12517,5,2502.84,28,4,5,4,13,Champion
12518,5,2056.89,1,4,4,5,13,Champion
12519,1,340.84,64,1,2,3,6,SomeWhat Loyal
12520,5,2634.26,79,4,5,2,11,Loyal
12521,1,599.68,143,1,3,2,6,SomeWhat Loyal
12522,2,192.72,39,2,1,3,6,SomeWhat Loyal
12523,11,1789.77,19,5,4,4,13,Champion
12524,8,4485.72,9,5,5,5,15,Champion
12526,3,1316.66,1,3,4,5,12,Loyal
12527,3,348.71000000000004,82,3,2,2,7,SomeWhat Loyal
12528,6,1933.48,9,5,4,5,14,Champion
12530,4,1662.28,60,4,4,3,11,Loyal
12531,1,125.22,15,1,1,4,6,SomeWhat Loyal
12532,1,349.83000000000004,30,1,2,4,7,SomeWhat Loyal
12534,1,1089.18,131,1,4,2,7,SomeWhat Loyal
12535,2,716.35,92,2,3,2,7,SomeWhat Loyal
12536,3,12601.830000000002,43,3,5,3,11,Loyal
12538,1,363.95,29,1,2,4,7,SomeWhat Loyal
12539,4,5568.35,22,4,5,4,13,Champion
12540,17,13400.24,20,5,5,4,14,Champion
12541,3,981.18,30,3,4,4,11,Loyal
12544,1,372.7,36,1,2,3,6,SomeWhat Loyal
12545,2,1000.39,75,2,4,2,8,SomeWhat Loyal
12546,2,1161.5,47,2,4,3,9,Loyal
12547,2,207.79999999999998,198,2,1,1,4,Others
12548,1,95.19999999999999,166,1,1,2,4,Others
12550,1,964.83,79,1,4,2,7,SomeWhat Loyal
12551,1,168.0,358,1,1,1,3,LOST
12552,2,437.82,39,2,2,3,7,SomeWhat Loyal
12553,10,3692.28,8,5,5,5,15,Champion
12556,2,603.71,50,2,3,3,8,SomeWhat Loyal
12557,5,11990.960000000001,16,4,5,4,13,Champion
12558,1,269.96,8,1,2,5,8,SomeWhat Loyal
12559,2,561.71,311,2,3,1,6,SomeWhat Loyal
12560,3,2134.01,5,3,5,5,13,Champion
12561,1,238.85,303,1,1,1,3,LOST
12562,7,3781.7400000000002,8,5,5,5,15,Champion
12564,1,456.9,261,1,2,1,4,Others
12565,1,145.92,289,1,1,1,3,LOST
12566,1,351.65,86,1,2,2,5,SomeWhat Loyal
12567,10,9401.28,23,5,5,4,14,Champion
12569,32,4124.69,2,5,5,5,15,Champion
12571,2,519.61,40,2,3,3,8,SomeWhat Loyal
12572,2,1020.42,9,2,4,5,11,Loyal
12573,1,160.54000000000002,227,1,1,1,3,LOST
12574,1,218.45,316,1,1,1,3,LOST
12576,5,1315.83,36,4,4,3,11,Loyal
12577,3,657.8,35,3,3,3,9,Loyal
12578,2,2794.51,21,2,5,4,11,Loyal
12579,1,440.42,78,1,2,2,5,SomeWhat Loyal
12580,1,415.7,247,1,2,1,4,Others
12581,1,197.71,40,1,1,3,5,SomeWhat Loyal
12582,2,511.36,239,2,3,1,6,SomeWhat Loyal
12583,15,7281.38,3,5,5,5,15,Champion
12584,9,2338.15,4,5,5,5,15,Champion
12585,2,2040.1,234,2,4,1,7,SomeWhat Loyal
12586,1,196.94000000000003,17,1,1,4,6,SomeWhat Loyal
12587,1,144.0,8,1,1,5,7,SomeWhat Loyal
12588,1,214.89999999999998,39,1,1,3,5,SomeWhat Loyal
12589,2,646.68,29,2,3,4,9,Loyal
12590,2,9864.26,211,2,5,1,8,SomeWhat Loyal
12591,1,452.84999999999997,317,1,2,1,4,Others
12592,2,437.6,92,2,2,2,6,SomeWhat Loyal
12593,3,418.09999999999997,109,3,2,2,7,SomeWhat Loyal
12594,10,3338.2200000000003,38,5,5,3,13,Champion
12596,2,618.27,51,2,3,3,8,SomeWhat Loyal
12597,4,3811.22,19,4,5,4,13,Champion
12598,8,3023.08,10,5,5,5,15,Champion
12599,7,1032.58,29,5,4,4,13,Champion
12600,10,2599.04,29,5,5,4,14,Champion
12601,5,577.0600000000001,190,4,3,1,8,SomeWhat Loyal
12602,1,153.12,59,1,1,3,5,SomeWhat Loyal
12603,1,739.1999999999999,22,1,3,4,8,SomeWhat Loyal
12604,2,254.18,79,2,2,2,6,SomeWhat Loyal
12607,1,1579.51,60,1,4,3,8,SomeWhat Loyal
12609,3,1126.85,78,3,4,2,9,Loyal
12610,5,2099.54,23,4,5,4,13,Champion
12611,1,1193.32,52,1,4,3,8,SomeWhat Loyal
12612,1,704.0400000000001,74,1,3,2,6,SomeWhat Loyal
12613,5,3344.38,57,4,5,3,12,Loyal
12614,1,315.6,278,1,2,1,4,Others
12615,4,2291.19,2,4,5,5,14,Champion
12616,2,713.3,95,2,3,2,7,SomeWhat Loyal
12617,1,355.53,29,1,2,4,7,SomeWhat Loyal
12618,1,177.31,22,1,1,4,6,SomeWhat Loyal
12619,9,3641.24,16,5,5,4,14,Champion
12620,3,1339.41,15,3,4,4,11,Loyal
12621,20,13689.67,2,5,5,5,15,Champion
12622,1,180.1,232,1,1,1,3,LOST
12623,1,305.1,276,1,2,1,4,Others
12624,2,641.13,106,2,3,2,7,SomeWhat Loyal
12625,2,2683.82,212,2,5,1,8,SomeWhat Loyal
12626,9,6620.48,23,5,5,4,14,Champion
12627,7,4478.53,11,5,5,5,15,Champion
12628,3,786.46,4,3,3,5,11,Loyal
12630,2,1270.88,10,2,4,5,11,Loyal
12631,1,640.5,57,1,3,3,7,SomeWhat Loyal
12633,4,2163.98,59,4,5,3,12,Loyal
12635,2,1689.18,90,2,4,2,8,SomeWhat Loyal
12637,8,6021.9,67,5,5,3,13,Champion
12638,1,671.69,33,1,3,4,8,SomeWhat Loyal
12639,1,486.1,239,1,2,1,4,Others
12640,3,1174.58,24,3,4,4,11,Loyal
12641,1,185.9,115,1,1,2,4,Others
12642,3,1013.26,25,3,4,4,11,Loyal
12643,6,3344.64,128,5,5,2,12,Loyal
12644,1,477.91,130,1,2,2,5,SomeWhat Loyal
12645,4,1775.18,34,4,4,3,11,Loyal
12646,2,1346.97,5,2,4,5,11,Loyal
12647,12,3722.82,22,5,5,4,14,Champion
12648,1,318.05,155,1,2,2,5,SomeWhat Loyal
12649,3,623.51,107,3,3,2,8,SomeWhat Loyal
12650,1,314.44,3,1,2,5,8,SomeWhat Loyal
12651,1,114.0,335,1,1,1,3,LOST
12652,1,919.98,331,1,3,1,5,SomeWhat Loyal
12653,2,2209.85,149,2,5,2,9,Loyal
12654,5,601.98,11,4,3,5,12,Loyal
12656,5,4051.17,17,4,5,4,13,Champion
12657,4,1643.18,11,4,4,5,13,Champion
12658,1,686.05,19,1,3,4,8,SomeWhat Loyal
12659,1,91.68,30,1,1,4,6,SomeWhat Loyal
12660,1,245.1,11,1,1,5,7,SomeWhat Loyal
12662,11,3849.78,1,5,5,5,15,Champion
12664,9,4881.88,8,5,5,5,15,Champion
12665,1,63.0,325,1,1,1,3,LOST
12667,1,620.13,58,1,3,3,7,SomeWhat Loyal
12668,4,3807.15,12,4,5,5,14,Champion
12669,3,2744.0299999999997,151,3,5,2,10,Loyal
12670,5,2996.05,10,4,5,5,14,Champion
12672,1,225.89999999999998,330,1,1,1,3,LOST
12673,2,610.52,5,2,3,5,10,Loyal
12674,4,1970.6,39,4,4,3,11,Loyal
12676,6,1331.39,25,5,4,4,13,Champion
12678,12,17628.46,42,5,5,3,13,Champion
12679,4,1113.02,59,4,4,3,11,Loyal
12680,4,862.81,1,4,3,5,12,Loyal
12681,22,13787.54,15,5,5,4,14,Champion
12682,31,12288.22,4,5,5,5,15,Champion
12683,15,8476.57,4,5,5,5,15,Champion
12684,7,2283.63,8,5,5,5,15,Champion
12685,6,2863.08,28,5,5,4,14,Champion
12686,1,89.14,372,1,1,1,3,LOST
12688,1,4873.8099999999995,114,1,5,2,8,SomeWhat Loyal
12689,2,1247.61,26,2,4,4,10,Loyal
12690,1,389.01,206,1,2,1,4,Others
12691,6,1035.8,28,5,4,4,13,Champion
12693,4,855.91,127,4,3,2,9,Loyal
12694,2,869.67,70,2,3,3,8,SomeWhat Loyal
12695,4,582.1,7,4,3,5,12,Loyal
12697,3,957.59,29,3,4,4,11,Loyal
12700,4,4939.99,8,4,5,5,14,Champion
12701,2,797.71,80,2,3,2,7,SomeWhat Loyal
12702,1,219.0,20,1,1,4,6,SomeWhat Loyal
12703,1,283.55,71,1,2,3,6,SomeWhat Loyal
12704,8,2340.84,7,5,5,5,15,Champion
12705,9,6868.29,15,5,5,4,14,Champion
12707,1,603.42,292,1,3,1,5,SomeWhat Loyal
12708,10,2712.91,30,5,5,4,14,Champion
12709,15,9736.52,15,5,5,4,14,Champion
12710,3,1149.02,97,3,4,2,9,Loyal
12712,13,4396.13,29,5,5,4,14,Champion
12713,1,848.55,1,1,3,5,9,Loyal
12714,5,4708.86,9,4,5,5,14,Champion
12715,1,353.86,106,1,2,2,5,SomeWhat Loyal
12716,2,1053.49,4,2,4,5,11,Loyal
12717,2,1030.98,151,2,4,2,8,SomeWhat Loyal
12718,1,238.25,71,1,1,3,5,SomeWhat Loyal
12719,2,644.95,5,2,3,5,10,Loyal
12720,25,5781.73,3,5,5,5,15,Champion
12721,6,2656.13,32,5,5,4,14,Champion
12722,4,997.63,85,4,4,2,10,Loyal
12723,5,725.07,4,4,3,5,12,Loyal
12724,4,1031.41,5,4,4,5,13,Champion
12725,1,427.8,371,1,2,1,4,Others
12726,7,2609.1,28,5,5,4,14,Champion
12727,7,3980.7,11,5,5,5,15,Champion
12728,4,836.33,71,4,3,3,10,Loyal
12729,1,453.01,114,1,2,2,5,SomeWhat Loyal
12731,12,18895.91,24,5,5,4,14,Champion
12732,1,236.26000000000002,180,1,1,1,3,LOST
12733,1,383.95,234,1,2,1,4,Others
12734,1,110.39999999999999,353,1,1,1,3,LOST
12735,2,779.5699999999999,315,2,3,1,6,SomeWhat Loyal
12736,1,234.0,333,1,1,1,3,LOST
12738,1,155.35,372,1,1,1,3,LOST
12739,2,1013.04,78,2,4,2,8,SomeWhat Loyal
12740,1,427.6,64,1,2,3,6,SomeWhat Loyal
12743,2,546.43,134,2,3,2,7,SomeWhat Loyal
12744,7,21279.29,52,5,5,3,13,Champion
12747,11,4196.01,2,5,5,5,15,Champion
12748,209,33719.73,1,5,5,5,15,Champion
12749,5,4090.88,4,4,5,5,14,Champion
12750,1,275.88,129,1,2,2,5,SomeWhat Loyal
12752,1,4366.78,81,1,5,2,8,SomeWhat Loyal
12753,6,21429.39,23,5,5,4,14,Champion
12754,3,3010.74,236,3,5,1,9,Loyal
12755,2,3811.95,281,2,5,1,8,SomeWhat Loyal
12756,1,112.07999999999998,87,1,1,2,4,Others
12757,13,7857.1,16,5,5,4,14,Champion
12758,2,2791.59,117,2,5,2,9,Loyal
12759,3,1531.44,52,3,4,3,10,Loyal
12762,2,1898.52,8,2,4,5,11,Loyal
12763,2,494.08,138,2,3,2,7,SomeWhat Loyal
12764,1,1693.88,317,1,4,1,6,SomeWhat Loyal
12766,7,6989.63,4,5,5,5,15,Champion
12769,1,1143.6,239,1,4,1,6,SomeWhat Loyal
12770,1,1351.45,211,1,4,1,6,SomeWhat Loyal
12772,1,892.47,60,1,3,3,7,SomeWhat Loyal
12775,5,1386.04,17,4,4,4,12,Loyal
12778,6,822.23,20,5,3,4,12,Loyal
12779,8,3981.36,38,5,5,3,13,Champion
12781,2,826.74,64,2,3,3,8,SomeWhat Loyal
12782,5,2330.92,5,4,5,5,14,Champion
12783,6,2225.91,2,5,5,5,15,Champion
12784,2,574.42,9,2,3,5,10,Loyal
12785,1,311.95,364,1,2,1,4,Others
12787,3,463.66,10,3,2,5,10,Loyal
12789,1,91.85,65,1,1,3,5,SomeWhat Loyal
12790,1,324.92,192,1,2,1,4,Others
12791,1,192.60000000000002,374,1,1,1,3,LOST
12792,1,400.53999999999996,257,1,2,1,4,Others
12793,2,545.48,335,2,3,1,6,SomeWhat Loyal
12794,2,860.41,53,2,3,3,8,SomeWhat Loyal
12795,1,430.48,19,1,2,4,7,SomeWhat Loyal
12797,1,254.03,366,1,2,1,4,Others
12798,3,6977.04,10,3,5,5,13,Champion
12802,1,427.58,187,1,2,1,4,Others
12808,3,483.65000000000003,37,3,2,3,8,SomeWhat Loyal
12809,1,489.31,178,1,2,2,5,SomeWhat Loyal
12811,3,514.85,261,3,3,1,7,SomeWhat Loyal
12812,1,229.64000000000001,45,1,1,3,5,SomeWhat Loyal
12814,1,125.92,102,1,1,2,4,Others
12815,2,1063.46,148,2,4,2,8,SomeWhat Loyal
12816,2,572.2,96,2,3,2,7,SomeWhat Loyal
12817,1,166.04,281,1,1,1,3,LOST
12818,1,1542.08,262,1,4,1,6,SomeWhat Loyal
12820,4,942.34,3,4,4,5,13,Champion
12821,1,92.72,214,1,1,1,3,LOST
12822,2,948.88,71,2,4,3,9,Loyal
12823,5,1759.5,75,4,4,2,10,Loyal
12824,1,397.12,60,1,2,3,6,SomeWhat Loyal
12826,7,1474.72,3,5,4,5,14,Champion
12827,3,430.15000000000003,6,3,2,5,10,Loyal
12828,6,1018.71,3,5,4,5,14,Champion
12829,2,293.0,337,2,2,1,5,SomeWhat Loyal
12830,6,6814.64,38,5,5,3,13,Champion
12831,1,215.05,262,1,1,1,3,LOST
12832,2,383.03,32,2,2,4,8,SomeWhat Loyal
12833,1,417.38,145,1,2,2,5,SomeWhat Loyal
12834,1,312.38,283,1,2,1,4,Others
12836,4,2612.86,59,4,5,3,12,Loyal
12837,1,134.1,173,1,1,2,4,Others
12838,2,683.13,34,2,3,3,8,SomeWhat Loyal
12839,14,5591.42,3,5,5,5,15,Champion
12840,4,2726.77,144,4,5,2,11,Loyal
12841,25,4022.35,5,5,5,5,15,Champion
12842,2,1118.99,70,2,4,3,9,Loyal
12843,8,1702.26,66,5,4,3,12,Loyal
12844,2,325.96000000000004,29,2,2,4,8,SomeWhat Loyal
12845,4,354.09,267,4,2,1,7,SomeWhat Loyal
12847,1,871.54,22,1,3,4,8,SomeWhat Loyal
12849,2,1050.8899999999999,31,2,4,4,10,Loyal
12851,1,135.18,97,1,1,2,4,Others
12852,1,311.55,295,1,2,1,4,Others
12853,6,1957.1000000000001,135,5,4,2,11,Loyal
12854,3,1324.5,79,3,4,2,9,Loyal
12855,1,38.1,373,1,1,1,3,LOST
12856,6,2179.93,8,5,5,5,15,Champion
12857,2,1106.4,211,2,4,1,7,SomeWhat Loyal
12863,1,521.2,52,1,3,3,7,SomeWhat Loyal
12864,1,147.12,138,1,1,2,4,Others
12865,2,1568.23,26,2,4,4,10,Loyal
12866,1,559.12,283,1,3,1,5,SomeWhat Loyal
12867,7,4036.82,26,5,5,4,14,Champion
12868,6,1607.0600000000002,186,5,4,1,10,Loyal
12871,2,380.64,84,2,2,2,6,SomeWhat Loyal
12872,2,599.97,327,2,3,1,6,SomeWhat Loyal
12873,1,374.0,282,1,2,1,4,Others
12875,2,343.2300000000001,143,2,2,2,6,SomeWhat Loyal
12876,2,2218.02,58,2,5,3,10,Loyal
12877,12,1535.77,4,5,4,5,14,Champion
12878,2,854.99,236,2,3,1,6,SomeWhat Loyal
12879,3,573.22,45,3,3,3,9,Loyal
12881,1,298.0,276,1,2,1,4,Others
12882,2,1463.04,9,2,4,5,11,Loyal
12883,4,703.47,25,4,3,4,11,Loyal
12884,1,309.05,88,1,2,2,5,SomeWhat Loyal
12885,3,1175.22,63,3,4,3,10,Loyal
12886,2,1378.4,68,2,4,3,9,Loyal
12888,2,354.12,214,2,2,1,5,SomeWhat Loyal
12890,1,380.46999999999997,24,1,2,4,7,SomeWhat Loyal
12891,3,331.0,186,3,2,1,6,SomeWhat Loyal
12893,1,188.14,31,1,1,4,6,SomeWhat Loyal
12895,2,372.8,42,2,2,3,7,SomeWhat Loyal
12897,2,216.5,205,2,1,1,4,Others
12901,28,17654.54,9,5,5,5,15,Champion
12902,1,138.68,265,1,1,1,3,LOST
12904,2,509.58,18,2,3,4,9,Loyal
12906,5,2919.81,12,4,5,5,14,Champion
12908,2,750.0,176,2,3,2,7,SomeWhat Loyal
12909,5,2178.67,40,4,5,3,12,Loyal
12910,8,3075.04,23,5,5,4,14,Champion
12912,5,1662.3,3,4,4,5,13,Champion
12913,5,2483.63,5,4,5,5,14,Champion
12915,2,363.65,149,2,2,2,6,SomeWhat Loyal
12916,4,3006.15,139,4,5,2,11,Loyal
12917,1,594.0,128,1,3,2,6,SomeWhat Loyal
12919,6,1335.19,8,5,4,5,14,Champion
12920,1,164.23,17,1,1,4,6,SomeWhat Loyal
12921,37,16587.09,9,5,5,5,15,Champion
12922,1,405.38,161,1,2,2,5,SomeWhat Loyal
12923,1,176.97,64,1,1,3,5,SomeWhat Loyal
12924,4,933.7,88,4,3,2,9,Loyal
12925,2,694.05,5,2,3,5,10,Loyal
12928,5,2062.7000000000003,35,4,5,3,12,Loyal
12929,1,117.85,312,1,1,1,3,LOST
12930,2,415.8,78,2,2,2,6,SomeWhat Loyal
12931,15,42055.96,22,5,5,4,14,Champion
12933,3,607.53,24,3,3,4,10,Loyal
12935,7,2160.7,2,5,5,5,15,Champion
12936,4,1063.9,17,4,4,4,12,Loyal
12937,4,1504.27,15,4,4,4,12,Loyal
12938,1,114.14,26,1,1,4,6,SomeWhat Loyal
12939,8,11581.8,64,5,5,3,13,Champion
12940,2,913.54,55,2,3,3,8,SomeWhat Loyal
12942,3,683.9,131,3,3,2,8,SomeWhat Loyal
12944,2,604.51,36,2,3,3,8,SomeWhat Loyal
12945,1,462.95,288,1,2,1,4,Others
12947,6,1603.99,144,5,4,2,11,Loyal
12948,7,2064.95,16,5,5,4,14,Champion
12949,8,4167.22,31,5,5,4,14,Champion
12950,3,1843.0,2,3,4,5,12,Loyal
12951,6,1064.07,9,5,4,5,14,Champion
12952,4,1387.79,6,4,4,5,13,Champion
12953,1,329.85,10,1,2,5,8,SomeWhat Loyal
12955,11,4757.16,1,5,5,5,15,Champion
12956,1,108.07,306,1,1,1,3,LOST
12957,8,4017.54,10,5,5,5,15,Champion
12962,2,266.39,7,2,2,5,9,Loyal
12963,8,1856.63,8,5,4,5,14,Champion
12965,1,771.91,89,1,3,2,6,SomeWhat Loyal
12966,1,160.18,10,1,1,5,7,SomeWhat Loyal
12967,2,1660.9,358,2,4,1,7,SomeWhat Loyal
12968,1,135.95,112,1,1,2,4,Others
12970,4,452.24,7,4,2,5,11,Loyal
12971,86,11189.91,4,5,5,5,15,Champion
12974,1,144.8,198,1,1,1,3,LOST
12976,1,738.6,212,1,3,1,5,SomeWhat Loyal
12977,1,39.239999999999995,156,1,1,2,4,Others
12980,9,7374.900000000001,158,5,5,2,12,Loyal
12981,2,372.21999999999997,30,2,2,4,8,SomeWhat Loyal
12982,1,390.54,243,1,2,1,4,Others
12984,1,97.5,19,1,1,4,6,SomeWhat Loyal
12985,2,1239.38,1,2,4,5,11,Loyal
12987,2,558.7,74,2,3,2,7,SomeWhat Loyal
12988,1,535.32,292,1,3,1,5,SomeWhat Loyal
12989,15,6924.110000000001,3,5,5,5,15,Champion
12990,3,409.5,31,3,2,4,9,Loyal
12991,2,503.76,23,2,3,4,9,Loyal
12993,4,414.76,23,4,2,4,10,Loyal
12994,3,974.4200000000001,4,3,4,5,12,Loyal
12995,1,211.32,85,1,1,2,4,Others
12997,4,1226.89,22,4,4,4,12,Loyal
12999,3,455.88,196,3,2,1,6,SomeWhat Loyal
13000,3,534.85,107,3,3,2,8,SomeWhat Loyal
13001,13,9818.82,4,5,5,5,15,Champion
13002,1,120.94999999999999,318,1,1,1,3,LOST
13003,3,149.05,106,3,1,2,6,SomeWhat Loyal
13004,18,5655.91,12,5,5,5,15,Champion
13005,2,513.7,174,2,3,2,7,SomeWhat Loyal
13006,1,81.57,56,1,1,3,5,SomeWhat Loyal
13008,1,229.46999999999997,323,1,1,1,3,LOST
13011,1,50.550000000000004,372,1,1,1,3,LOST
13012,8,1661.8400000000001,9,5,4,5,14,Champion
13013,13,4810.9400000000005,1,5,5,5,15,Champion
13014,10,3466.2799999999997,11,5,5,5,15,Champion
13015,5,3346.28,53,4,5,3,12,Loyal
13016,3,789.89,73,3,3,2,8,SomeWhat Loyal
13017,1,204.0,7,1,1,5,7,SomeWhat Loyal
13018,28,7277.7,16,5,5,4,14,Champion
13021,9,2616.38,4,5,5,5,15,Champion
13023,2,689.9,64,2,3,3,8,SomeWhat Loyal
13026,5,975.36,1,4,4,5,13,Champion
13027,6,6912.0,114,5,5,2,12,Loyal
13028,2,661.3199999999999,23,2,3,4,9,Loyal
13029,3,1247.5,31,3,4,4,11,Loyal
